Función, BestFitness
1,6.014410e+05
2,1.048272e+03
3,3.986790e+03
4,3.339162e+01
5,2.051177e+01
6,1.467371e-01
7,5.765379e-03
8,3.362965e+00
9,6.426496e+00
10,6.534463e+01
11,5.654049e+02
12,1.477381e+00
13,1.567505e-01
14,3.439771e-01
15,1.185698e+00
16,2.298010e+00
17,2.850091e+04
18,7.113525e+03
19,4.966334e-01
20,4.502582e+03
21,4.445539e+03
22,9.165371e+00
23,3.294580e+02
24,1.125776e+02
25,1.918385e+02
26,1.001368e+02
27,2.406592e+02
28,3.794685e+02
29,6.224875e+02
30,6.764279e+02
