Función, BestFness, BestFness, BestFness, BestFness, BestFness
1,1.4019e+06,1.5062e+07,4.5445e+06,9.1373e+04,1.2852e+05
2,5.2433e+03,2.2385e+07,2.3344e+03,3.2162e+03,3.7183e+03
3,3.9816e+03,1.3982e+04,5.1444e+03,2.9106e+03,2.2521e+03
4,2.6378e+01,4.8196e+01,2.6471e+01,2.2436e+01,2.4316e+01
5,1.8708e+01,2.0700e+01,1.8308e+01,1.9518e+01,1.8705e+01
6,8.5966e-01,2.4887e+00,8.9220e-01,9.7225e-01,1.3493e+00
7,2.2730e-02,1.0190e+00,2.7697e-02,5.9555e-02,6.7596e-02
8,5.4470e+00,1.2589e+01,6.6274e+00,5.8903e+00,6.7062e+00
9,8.0846e+00,1.6510e+01,9.3395e+00,8.8193e+00,8.5368e+00
10,7.7479e+01,2.8852e+02,1.1994e+02,1.3100e+02,1.3971e+02
11,4.7010e+02,1.1878e+03,4.7046e+02,2.5693e+02,2.5919e+02
12,2.7543e-01,2.2869e+00,3.5016e-01,6.0007e-02,8.0529e-02
13,1.1692e-01,2.9047e-01,7.5061e-02,9.4233e-02,7.1274e-02
14,2.5970e-01,4.9721e-01,2.9625e-01,3.0278e-01,2.5294e-01
15,1.1314e+00,2.8492e+00,1.0124e+00,8.5777e-01,7.6538e-01
16,2.1069e+00,3.4910e+00,1.8494e+00,2.2432e+00,1.7438e+00
17,2.3466e+04,3.6888e+05,1.6802e+05,1.0080e+04,7.9785e+03
18,3.8130e+03,8.3484e+03,6.4743e+03,1.1931e+04,1.1616e+04
19,1.1479e+00,2.3462e+00,1.1198e+00,1.4295e+00,1.2619e+00
20,1.6338e+03,1.0017e+04,6.7911e+03,4.9414e+03,4.0037e+03
21,2.8548e+03,1.2894e+05,2.8723e+04,2.9665e+03,1.8785e+03
22,1.4712e+01,6.6400e+01,3.7563e+01,3.3007e+01,3.7571e+01
23,3.2949e+02,3.3298e+02,3.2945e+02,3.2945e+02,3.2945e+02
24,1.1832e+02,1.4775e+02,1.2625e+02,1.1727e+02,1.1533e+02
25,1.7219e+02,1.9781e+02,1.9253e+02,1.8447e+02,1.9253e+02
26,1.0011e+02,1.0027e+02,1.0008e+02,1.0008e+02,1.0007e+02
27,1.2146e+02,3.4281e+02,2.8240e+02,2.4831e+02,2.0931e+02
28,4.0111e+02,4.5314e+02,4.1560e+02,4.2631e+02,4.5258e+02
29,5.5474e+02,6.9891e+04,6.1174e+02,4.2500e+04,4.6736e+02
30,7.3145e+02,1.2212e+03,8.0306e+02,9.5011e+02,9.1190e+02
