Función, BestFness, BestFness, BestFness, BestFness, BestFness
1,1.5752e+05,2.1733e+06,2.2745e+05,6.0144e+05,7.4428e+04
2,1.0672e+03,1.3810e+03,5.5215e+03,1.0482e+03,7.2105e+02
3,1.5882e+03,2.2691e+03,5.5495e+03,3.9867e+03,2.3256e+03
4,1.6113e+01,3.0481e+01,3.3704e+01,3.3391e+01,3.4171e+01
5,1.9846e+01,1.8600e+01,2.0308e+01,2.0511e+01,1.8680e+01
6,6.8365e-01,1.6552e-01,1.3404e+00,1.4673e-01,2.1035e-02
7,2.3192e-02,3.9416e-03,5.5262e-02,5.7653e-03,3.8403e-03
8,5.7001e+00,3.8604e+00,1.0317e+01,3.3629e+00,2.5669e+00
9,5.9507e+00,3.5049e+00,2.0699e+01,6.4264e+00,2.5669e+00
10,7.7954e+01,7.2378e+01,1.1952e+02,6.5344e+01,6.2143e+01
11,3.2684e+02,8.8974e+01,7.0033e+02,5.6540e+02,4.8549e+01
12,2.2760e-01,7.9644e-01,4.0755e-01,1.4773e+00,8.7579e-01
13,9.4284e-02,3.2182e-02,1.6965e-01,1.5675e-01,8.9885e-02
14,2.7804e-01,3.8735e-01,3.4250e-01,3.4397e-01,3.4761e-01
15,8.5697e-01,1.0099e+00,2.1946e+00,1.1856e+00,9.7879e-01
16,1.9262e+00,2.0125e+00,3.3862e+00,2.2980e+00,1.2384e+00
17,3.0557e+04,1.0340e+05,8.2781e+04,2.8500e+04,6.4435e+03
18,2.0985e+03,7.8739e+03,8.9739e+03,7.1135e+03,8.1343e+03
19,1.0338e+00,6.1893e-01,1.2340e+00,4.9663e-01,3.5989e-01
20,1.9395e+03,3.7767e+03,4.7813e+03,4.5025e+03,3.7892e+03
21,1.4486e+03,6.1609e+03,6.3551e+03,4.4455e+03,1.6056e+03
22,1.2414e+01,1.3068e+01,1.1712e+01,9.1653e+00,5.2574e+00
23,3.2945e+02,3.2945e+02,3.2945e+02,3.2945e+02,3.2945e+02
24,1.1681e+02,1.1338e+02,1.2598e+02,1.1257e+02,1.0934e+02
25,1.7491e+02,1.9479e+02,1.9026e+02,1.9183e+02,1.8243e+02
26,1.0009e+02,1.0003e+02,1.0014e+02,1.0013e+02,1.0008e+02
27,2.6215e+02,2.6309e+02,2.9265e+02,2.4065e+02,1.9881e+02
28,3.7553e+02,3.7649e+02,3.8118e+02,3.7946e+02,3.8003e+02
29,4.4850e+02,4.6958e+02,9.5652e+02,6.2248e+02,5.8943e+02
30,6.1567e+02,7.0842e+02,5.2901e+02,6.7642e+02,5.7951e+02
