Función, BestFness, BestFness, BestFness, BestFness
1,1.2687e+05,1.7231e+06,4.2716e+06,2.4020e+05
2,1.4547e+03,1.6996e+03,4.2071e+06,3.3282e+03
3,9.8373e+02,2.7828e+03,5.4611e+03,1.7934e+03
4,2.4256e+01,1.8674e+01,3.1670e+01,1.6238e+01
5,1.8092e+01,1.9127e+01,2.0580e+01,2.0040e+01
6,6.8492e-01,6.8201e-01,1.6335e+00,3.7625e+00
7,2.5634e-02,2.6540e-02,2.7812e-01,1.9765e-01
8,3.6285e+00,5.7764e+00,1.0908e+01,1.2492e+01
9,6.4028e+00,6.8298e+00,1.3081e+01,1.9384e+01
10,6.7845e+01,9.3402e+01,2.4223e+02,3.3449e+02
11,2.1102e+02,4.6752e+02,6.0324e+02,6.9847e+02
12,1.9412e-01,4.4881e-01,1.5452e+00,3.2282e-01
13,8.9394e-02,1.0874e-01,2.3872e-01,1.8256e-01
14,2.7045e-01,2.9991e-01,4.0048e-01,3.1859e-01
15,8.9744e-01,1.0292e+00,1.8145e+00,1.6638e+00
16,1.6813e+00,2.0766e+00,2.9716e+00,2.7604e+00
17,4.4129e+03,1.8296e+04,2.4045e+05,2.8608e+04
18,3.2796e+03,3.3972e+03,8.4848e+03,4.0718e+03
19,1.0478e+00,1.0923e+00,1.9442e+00,2.0303e+00
20,1.0811e+03,2.0219e+03,8.5527e+03,9.6252e+02
21,9.9040e+02,3.6774e+03,2.8736e+04,2.4449e+03
22,1.0174e+01,2.1894e+01,5.2381e+01,4.8718e+01
23,3.2945e+02,3.2947e+02,3.3051e+02,3.2945e+02
24,1.1696e+02,1.1645e+02,1.2666e+02,1.2595e+02
25,1.6253e+02,1.7771e+02,1.9530e+02,1.8790e+02
26,1.0009e+02,1.0011e+02,1.0023e+02,1.0019e+02
27,8.7279e+01,1.2815e+02,2.8582e+02,2.8573e+02
28,3.8157e+02,3.9276e+02,4.4835e+02,4.4664e+02
29,4.5704e+02,5.1985e+02,7.4464e+04,4.5880e+02
30,6.4339e+02,6.7396e+02,1.0373e+03,1.1580e+03
