Función, BestFness, BestFness, BestFness, BestFness
1,1.5752e+05,1.7231e+06,1.3989e+06,9.2272e+05
2,1.0672e+03,1.6996e+03,2.9261e+03,2.6597e+04
3,1.5882e+03,2.7828e+03,8.5883e+03,4.6951e+03
4,1.6113e+01,1.8674e+01,2.2752e+01,2.3633e+01
5,1.9846e+01,1.9127e+01,2.0369e+01,2.0089e+01
6,6.8365e-01,6.8201e-01,2.7009e+00,4.5951e+00
7,2.3192e-02,2.6540e-02,9.1848e-02,3.8099e-01
8,5.7001e+00,5.7764e+00,1.1385e+01,1.3454e+01
9,5.9507e+00,6.8298e+00,1.5860e+01,2.0260e+01
10,7.7954e+01,9.3402e+01,2.8547e+02,4.3488e+02
11,3.2684e+02,4.6752e+02,8.6690e+02,9.0062e+02
12,2.2760e-01,4.4881e-01,8.2951e-01,3.9547e-01
13,9.4284e-02,1.0874e-01,2.1155e-01,2.1959e-01
14,2.7804e-01,2.9991e-01,4.1729e-01,3.0964e-01
15,8.5697e-01,1.0292e+00,1.4414e+00,2.9398e+00
16,1.9262e+00,2.0766e+00,3.1400e+00,3.0727e+00
17,3.0557e+04,1.8296e+04,2.1420e+05,6.2146e+04
18,2.0985e+03,3.3972e+03,1.0545e+04,6.6389e+03
19,1.0338e+00,1.0923e+00,2.1808e+00,2.5975e+00
20,1.9395e+03,2.0219e+03,8.9192e+03,1.6641e+03
21,1.4486e+03,3.6774e+03,2.5209e+04,2.6070e+03
22,1.2414e+01,2.1894e+01,5.2841e+01,7.3412e+01
23,3.2945e+02,3.2947e+02,3.2965e+02,3.2956e+02
24,1.1681e+02,1.1645e+02,1.3376e+02,1.4753e+02
25,1.7491e+02,1.7771e+02,1.9424e+02,1.8772e+02
26,1.0009e+02,1.0011e+02,1.0023e+02,1.0022e+02
27,2.6215e+02,1.2815e+02,2.9922e+02,3.2854e+02
28,3.7553e+02,3.9276e+02,4.2349e+02,4.8308e+02
29,4.4850e+02,5.1985e+02,7.4443e+04,9.8980e+04
30,6.1567e+02,6.7396e+02,1.0670e+03,1.4292e+03
