Función, BestFness, BestFness, BestFness, BestFness
1,6.5026e+05,2.7226e+06,2.0392e+07,3.3134e+07
2,4.4754e+03,5.1190e+03,2.6328e+08,1.0350e+08
3,1.6329e+03,5.5671e+03,1.5530e+04,3.6775e+04
4,1.7514e+01,2.1332e+01,8.6025e+01,7.6859e+01
5,2.0105e+01,2.0156e+01,2.0414e+01,2.0811e+01
6,2.2033e+00,2.2510e+00,4.4434e+00,7.0298e+00
7,5.4011e-02,2.4374e-01,9.4404e+00,3.5810e+00
8,7.2696e+00,9.5883e+00,1.3647e+01,3.8620e+01
9,9.8555e+00,1.0661e+01,2.4704e+01,5.2224e+01
10,1.6907e+02,2.2900e+02,5.1954e+02,1.2130e+03
11,5.5017e+02,5.8306e+02,1.0465e+03,1.7905e+03
12,2.4918e-01,2.9580e-01,9.6813e-01,2.0950e+00
13,1.6825e-01,1.6512e-01,4.5885e-01,6.3526e-01
14,2.9645e-01,3.0076e-01,2.0710e+00,5.9613e-01
15,1.0419e+00,1.6529e+00,1.2973e+01,2.1500e+01
16,2.7782e+00,3.0277e+00,3.4046e+00,3.8021e+00
17,4.4819e+04,1.0090e+05,4.9446e+05,6.3868e+05
18,2.3651e+03,2.0763e+03,3.0441e+05,2.0777e+05
19,1.5083e+00,1.7336e+00,4.6037e+00,7.5559e+00
20,1.2494e+03,2.2786e+03,9.0288e+03,1.7022e+04
21,2.3658e+03,6.7484e+03,1.1892e+05,5.7983e+05
22,2.1822e+01,3.4480e+01,9.8799e+01,1.7035e+02
23,3.2945e+02,3.2976e+02,3.3657e+02,3.3482e+02
24,1.2344e+02,1.2489e+02,1.6273e+02,1.6922e+02
25,1.8034e+02,1.8918e+02,1.9746e+02,2.0081e+02
26,1.0013e+02,1.0016e+02,1.0037e+02,1.0069e+02
27,2.0665e+02,2.2107e+02,3.6467e+02,4.0539e+02
28,4.0707e+02,3.9716e+02,5.7886e+02,7.0582e+02
29,4.1250e+02,5.5509e+02,1.1448e+06,2.4973e+05
30,8.5598e+02,8.2542e+02,4.4203e+03,8.2989e+03
