Función, BestFitness
1,1.457066e+06
2,1.150129e+04
3,2.106082e+04
4,8.971227e+01
5,2.090931e+01
6,7.867630e+00
7,1.785279e-02
8,2.737738e+01
9,4.405844e+01
10,1.064872e+03
11,3.121280e+03
12,2.028467e+00
13,2.150328e-01
14,3.038513e-01
15,4.166956e+00
16,9.360977e+00
17,7.953514e+05
18,2.757318e+03
19,7.076087e+00
20,2.797415e+04
21,3.559374e+05
22,3.670328e+02
23,3.152828e+02
24,2.372113e+02
25,2.103417e+02
26,1.053104e+02
27,4.895607e+02
28,9.220944e+02
29,4.351078e+05
30,6.867850e+03
