Función, BestFness, BestFness, BestFness, BestFness
1,5.3193e+06,1.5295e+07,1.2235e+07,6.5283e+07
2,6.2833e+03,3.3774e+08,8.8313e+08,7.7868e+07
3,2.7764e+03,1.9212e+04,4.3356e+04,1.9340e+04
4,1.0926e+02,1.1723e+02,1.4900e+02,2.1938e+02
5,2.0354e+01,2.0899e+01,2.0766e+01,2.0492e+01
6,8.7581e+00,1.4156e+01,1.6990e+01,3.0531e+01
7,1.5136e-02,6.8299e+00,3.9576e+00,1.5895e+00
8,3.2938e+01,6.7272e+01,7.8292e+01,1.4626e+02
9,4.9306e+01,1.0268e+02,1.2591e+02,2.2216e+02
10,7.0523e+02,1.9526e+03,2.3813e+03,3.6537e+03
11,1.6933e+03,2.7614e+03,4.4359e+03,4.9810e+03
12,4.1456e-01,7.8742e-01,2.4028e+00,9.7632e-01
13,2.4816e-01,4.4471e-01,6.3069e-01,4.5236e-01
14,3.1666e-01,4.4572e-01,7.7631e-01,3.4334e-01
15,5.0879e+00,9.1687e+01,2.6328e+02,5.3661e+01
16,9.9512e+00,1.1137e+01,1.2874e+01,1.2687e+01
17,4.6420e+05,2.9300e+05,1.8014e+06,3.2842e+06
18,2.3388e+03,3.4957e+03,5.3439e+03,7.3053e+05
19,8.4087e+00,1.0706e+01,3.0533e+01,3.6856e+01
20,1.0556e+04,1.5206e+04,3.8641e+04,1.6533e+04
21,1.9287e+05,1.5842e+05,6.2263e+05,7.6120e+05
22,2.6657e+02,3.8138e+02,6.5347e+02,5.8582e+02
23,3.1524e+02,3.1936e+02,3.1799e+02,3.1786e+02
24,2.3333e+02,2.4323e+02,2.4435e+02,2.4802e+02
25,2.0606e+02,2.0660e+02,2.1539e+02,2.2343e+02
26,1.0028e+02,1.0054e+02,1.0562e+02,1.1069e+02
27,4.5061e+02,4.7673e+02,7.1751e+02,8.5730e+02
28,9.0371e+02,9.8953e+02,1.1479e+03,2.0551e+03
29,1.5914e+03,1.1302e+04,4.2708e+05,4.6868e+05
30,3.3217e+03,1.0923e+04,8.1829e+03,1.2756e+04
