Función, BestFitness
1,8.036808e+06
2,7.107070e+07
3,8.836449e+03
4,1.455007e+02
5,2.095077e+01
6,7.123355e+00
7,1.638540e+00
8,5.149602e+01
9,1.310129e+02
10,8.038424e+02
11,3.151548e+03
12,2.521338e+00
13,2.403382e-01
14,3.944397e-01
15,1.690901e+01
16,1.132420e+01
17,3.772440e+05
18,4.204836e+03
19,8.052241e+00
20,1.055992e+04
21,1.947006e+05
22,8.948504e+01
23,3.160330e+02
24,2.265192e+02
25,2.051281e+02
26,1.002253e+02
27,4.071715e+02
28,8.721289e+02
29,3.090812e+03
30,2.651230e+03
