Función, BestFitness
1,1.086129e+07
2,1.345043e+04
3,1.040314e+04
4,1.108007e+02
5,2.058067e+01
6,1.648262e+01
7,1.049804e-02
8,5.416475e+01
9,8.097862e+01
10,2.262075e+03
11,3.486283e+03
12,7.354310e-01
13,3.304503e-01
14,2.879028e-01
15,1.269140e+01
16,1.234952e+01
17,1.301160e+06
18,2.832658e+03
19,1.612394e+01
20,1.765183e+04
21,4.068485e+05
22,4.144542e+02
23,3.152480e+02
24,2.349147e+02
25,2.112060e+02
26,1.004125e+02
27,7.157979e+02
28,9.871104e+02
29,3.711314e+03
30,4.651259e+03
